2022-11-28 23:20:12,528 INFO    MainThread:44043 [wandb_setup.py:_flush():68] Configure stats pid to 44043
2022-11-28 23:20:12,529 INFO    MainThread:44043 [wandb_setup.py:_flush():68] Loading settings from /jet/home/kliu8/.config/wandb/settings
2022-11-28 23:20:12,529 INFO    MainThread:44043 [wandb_setup.py:_flush():68] Loading settings from /jet/home/kliu8/project/IFRNet/wandb/settings
2022-11-28 23:20:12,529 INFO    MainThread:44043 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-28 23:20:12,529 INFO    MainThread:44043 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_vimeo90k.py', 'program': 'train_vimeo90k.py'}
2022-11-28 23:20:12,530 INFO    MainThread:44043 [wandb_init.py:_log_setup():476] Logging user logs to /jet/home/kliu8/project/IFRNet/wandb/run-20221128_232012-18gllqg0/logs/debug.log
2022-11-28 23:20:12,530 INFO    MainThread:44043 [wandb_init.py:_log_setup():477] Logging internal logs to /jet/home/kliu8/project/IFRNet/wandb/run-20221128_232012-18gllqg0/logs/debug-internal.log
2022-11-28 23:20:12,530 INFO    MainThread:44043 [wandb_init.py:init():516] calling init triggers
2022-11-28 23:20:12,530 INFO    MainThread:44043 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-11-28 23:20:12,530 INFO    MainThread:44043 [wandb_init.py:init():569] starting backend
2022-11-28 23:20:12,530 INFO    MainThread:44043 [wandb_init.py:init():573] setting up manager
2022-11-28 23:20:12,535 INFO    MainThread:44043 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-28 23:20:12,539 INFO    MainThread:44043 [wandb_init.py:init():580] backend started and connected
2022-11-28 23:20:12,543 INFO    MainThread:44043 [wandb_init.py:init():658] updated telemetry
2022-11-28 23:20:12,593 INFO    MainThread:44043 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-28 23:20:12,808 INFO    MainThread:44043 [wandb_run.py:_on_init():2000] communicating current version
2022-11-28 23:20:12,884 INFO    MainThread:44043 [wandb_run.py:_on_init():2004] got version response 
2022-11-28 23:20:12,884 INFO    MainThread:44043 [wandb_init.py:init():728] starting run threads in backend
2022-11-28 23:20:14,362 INFO    MainThread:44043 [wandb_run.py:_console_start():1980] atexit reg
2022-11-28 23:20:14,363 INFO    MainThread:44043 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-28 23:20:14,363 INFO    MainThread:44043 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-28 23:20:14,363 INFO    MainThread:44043 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-28 23:20:14,363 INFO    MainThread:44043 [wandb_init.py:init():765] run started, returning control to user process
2022-11-28 23:20:14,363 INFO    MainThread:44043 [wandb_watch.py:watch():51] Watching
2022-11-28 23:20:30,764 WARNING MsgRouterThr:44043 [router.py:message_loop():77] message_loop has been closed
